experiment_id,model,domain,metric,best_score,eval_score,best_iteration,run_completed,symfluence_version,code_commit,collected_at
domain_Bow_at_Banff_lumped_calibration_ensemble:catchment/lumped/cal_ensemble_hype_nsga2/Bow_at_Banff_lumped_calibration_ensemble_HRUs_GRUs.shp,geometry,domain_Bow_at_Banff_lumped_calibration_ensemble,n_features,1,,,2026-07-27T23:28:23Z,0.9.2,d4a47893,2026-07-28T13:12:19Z
domain_Bow_at_Banff_lumped_calibration_ensemble:catchment/lumped/cal_ensemble_hype_pso/Bow_at_Banff_lumped_calibration_ensemble_HRUs_GRUs.shp,geometry,domain_Bow_at_Banff_lumped_calibration_ensemble,n_features,1,,,2026-07-28T08:20:56Z,0.9.2,d4a47893,2026-07-28T13:12:19Z
domain_Bow_at_Banff_lumped_calibration_ensemble:catchment/lumped/cal_ensemble_hype_sa/Bow_at_Banff_lumped_calibration_ensemble_HRUs_GRUs.shp,geometry,domain_Bow_at_Banff_lumped_calibration_ensemble,n_features,1,,,2026-07-28T15:30:52Z,0.9.2,5eb00399,2026-07-29T01:06:31Z
domain_Bow_at_Banff_lumped_calibration_ensemble:catchment/lumped/cal_ensemble_hype_sceua/Bow_at_Banff_lumped_calibration_ensemble_HRUs_GRUs.shp,geometry,domain_Bow_at_Banff_lumped_calibration_ensemble,n_features,1,,,2026-07-29T02:09:53Z,0.9.2,d70c4c53,2026-07-29T13:00:14Z
domain_Bow_at_Banff_lumped_calibration_ensemble:catchment/lumped/cal_ensemble_sacsma_abc/Bow_at_Banff_lumped_calibration_ensemble_HRUs_GRUs.shp,geometry,domain_Bow_at_Banff_lumped_calibration_ensemble,n_features,1,,,2026-07-29T12:26:25Z,0.9.2,d70c4c53,2026-07-29T13:00:14Z
domain_Bow_at_Banff_lumped_calibration_ensemble:river_basins/Bow_at_Banff_lumped_calibration_ensemble_riverBasins_lumped.shp,geometry,domain_Bow_at_Banff_lumped_calibration_ensemble,n_features,1,,,2026-07-19T19:47:52Z,0.9.2,9d6bb65a,2026-07-21T14:31:14Z
domain_Bow_at_Banff_lumped_calibration_ensemble:river_network/Bow_at_Banff_lumped_calibration_ensemble_riverNetwork_lumped.shp,geometry,domain_Bow_at_Banff_lumped_calibration_ensemble,n_features,1,,,2026-07-19T19:47:52Z,0.9.2,9d6bb65a,2026-07-21T14:31:14Z
domain_Bow_at_Banff_lumped_elev_aspect:catchment/lumped/Bow_at_Banff_lumped_elev_aspect/Bow_at_Banff_lumped_elev_aspect_HRUs_elevation_aspect.shp,geometry,domain_Bow_at_Banff_lumped_elev_aspect,n_features,88,,,2026-07-19T19:12:45Z,0.9.2,9d6bb65a,2026-07-21T14:31:14Z
domain_Bow_at_Banff_lumped_elev_aspect:river_basins/Bow_at_Banff_lumped_elev_aspect_riverBasins_lumped.shp,geometry,domain_Bow_at_Banff_lumped_elev_aspect,n_features,1,,,2026-07-19T19:12:37Z,0.9.2,9d6bb65a,2026-07-21T14:31:14Z
domain_Bow_at_Banff_lumped_elev_aspect:river_network/Bow_at_Banff_lumped_elev_aspect_riverNetwork_lumped.shp,geometry,domain_Bow_at_Banff_lumped_elev_aspect,n_features,1,,,2026-07-19T19:12:37Z,0.9.2,9d6bb65a,2026-07-21T14:31:14Z
domain_Bow_at_Banff_lumped_elev_bands:catchment/lumped/Bow_at_Banff_lumped_elev_bands/Bow_at_Banff_lumped_elev_bands_HRUs_elevation.shp,geometry,domain_Bow_at_Banff_lumped_elev_bands,n_features,12,,,2026-07-19T19:12:55Z,0.9.2,9d6bb65a,2026-07-21T14:31:14Z
domain_Bow_at_Banff_lumped_elev_bands:river_basins/Bow_at_Banff_lumped_elev_bands_riverBasins_lumped.shp,geometry,domain_Bow_at_Banff_lumped_elev_bands,n_features,1,,,2026-07-19T19:12:53Z,0.9.2,9d6bb65a,2026-07-21T14:31:15Z
domain_Bow_at_Banff_lumped_elev_bands:river_network/Bow_at_Banff_lumped_elev_bands_riverNetwork_lumped.shp,geometry,domain_Bow_at_Banff_lumped_elev_bands,n_features,1,,,2026-07-19T19:12:53Z,0.9.2,9d6bb65a,2026-07-21T14:31:15Z
domain_Bow_at_Banff_lumped_elev_sd_routing:catchment/lumped/Bow_at_Banff_lumped_elev_sd_routing/Bow_at_Banff_lumped_elev_sd_routing_HRUs_elevation.shp,geometry,domain_Bow_at_Banff_lumped_elev_sd_routing,n_features,12,,,2026-07-19T19:13:07Z,0.9.2,9d6bb65a,2026-07-21T14:31:15Z
domain_Bow_at_Banff_lumped_elev_sd_routing:catchment/lumped/Bow_at_Banff_lumped_elev_sd_routing/Bow_at_Banff_lumped_elev_sd_routing_catchment_delineated.shp,geometry,domain_Bow_at_Banff_lumped_elev_sd_routing,n_features,49,,,2026-07-19T19:13:07Z,0.9.2,9d6bb65a,2026-07-21T14:31:15Z
domain_Bow_at_Banff_lumped_elev_sd_routing:river_basins/Bow_at_Banff_lumped_elev_sd_routing_riverBasins_delineate.shp,geometry,domain_Bow_at_Banff_lumped_elev_sd_routing,n_features,49,,,2026-07-19T19:13:05Z,0.9.2,9d6bb65a,2026-07-21T14:31:15Z
